"94","Centene Corporation","CNC","Healthcare","NYQ"
"95","CenterPoint Energy, Inc.","CNP","Utilities","NYQ"
"96","CF Industries Holdings, Inc.","CF","Basic Materials","NYQ"
"97","Charles River Laboratories International, Inc.","CRL","Healthcare","NYQ"
"98","The Charles Schwab Corporation","SCHW","Financial Services","NYQ"
"99","Charter Communications, Inc.","CHTR","Communication Services","NMS"
"100","Chevron Corporation","CVX","Energy","NYQ"
"101","Chipotle Mexican Grill, Inc.","CMG","Consumer Cyclical","NYQ"
"102","Chubb Limited","CB","Financial Services","NYQ"
"103","Church & Dwight Co., Inc.","CHD","Consumer Defensive","NYQ"
"104","The Cigna Group","CI","Healthcare","NYQ"
"105","Cincinnati Financial Corporation","CINF","Financial Services","NMS"
"106","Cintas Corporation","CTAS","Industrials","NMS"
"107","Cisco Systems, Inc.","CSCO","Technology","NMS"
"108","Citigroup Inc.","C","Financial Services","NYQ"
"109","Citizens Financial Group, Inc.","CFG","Financial Services","NYQ"
"110","The Clorox Company","CLX","Consumer Defensive","NYQ"
"111","CME Group Inc.","CME","Financial Services","NMS"
"112","CMS Energy Corporation","CMS","Utilities","NYQ"
"113","The Coca-Cola Company","KO","Consumer Defensive","NYQ"
"114","Cognizant Technology Solutions Corporation","CTSH","Technology","NMS"
"115","Colgate-Palmolive Company","CL","Consumer Defensive","NYQ"
"116","Comcast Corporation","CMCSA","Communication Services","NMS"
"117","Conagra Brands, Inc.","CAG","Consumer Defensive","NYQ"
"118","ConocoPhillips","COP","Energy","NYQ"
"119","Consolidated Edison, Inc.","ED","Utilities","NYQ"
"120","Constellation Brands, Inc.","STZ","Consumer Defensive","NYQ"
"121","Constellation Energy Corporation","CEG","Utilities","NMS"
"122","The Cooper Companies, Inc.","COO","Healthcare","NMS"
"123","Copart, Inc.","CPRT","Industrials","NMS"
"124","Corning Incorporated","GLW","Technology","NYQ"
"125","Corpay, Inc.","CPAY","Technology","NYQ"
"126","Corteva, Inc.","CTVA","Basic Materials","NYQ"
"127","CoStar Group, Inc.","CSGP","Real Estate","NMS"
"128","Costco Wholesale Corporation","COST","Consumer Defensive","NMS"
"129","Coterra Energy Inc.","CTRA","Energy","NYQ"
"130","CrowdStrike Holdings, Inc.","CRWD","Technology","NMS"
"131","Crown Castle Inc.","CCI","Real Estate","NYQ"
"132","CSX Corporation","CSX","Industrials","NMS"
"133","Cummins Inc.","CMI","Industrials","NYQ"
"134","CVS Health Corporation","CVS","Healthcare","NYQ"
"135","Danaher Corporation","DHR","Healthcare","NYQ"
"136","Darden Restaurants, Inc.","DRI","Consumer Cyclical","NYQ"
