"461","United Airlines Holdings, Inc.","UAL","Industrials","NMS"
"462","United Parcel Service, Inc.","UPS","Industrials","NYQ"
"463","United Rentals, Inc.","URI","Industrials","NYQ"
"464","UnitedHealth Group Incorporated","UNH","Healthcare","NYQ"
"465","Universal Health Services, Inc.","UHS","Healthcare","NYQ"
"466","Valero Energy Corporation","VLO","Energy","NYQ"
"467","Ventas, Inc.","VTR","Real Estate","NYQ"
"468","Veralto Corporation","VLTO","Industrials","NYQ"
"469","VeriSign, Inc.","VRSN","Technology","NMS"
"470","Verisk Analytics, Inc.","VRSK","Industrials","NMS"
"471","Verizon Communications Inc.","VZ","Communication Services","NYQ"
"472","Vertex Pharmaceuticals Incorporated","VRTX","Healthcare","NMS"
"473","Viatris Inc.","VTRS","Healthcare","NMS"
"474","VICI Properties Inc.","VICI","Real Estate","NYQ"
"475","Visa Inc.","V","Financial Services","NYQ"
"476","Vistra Corp.","VST","Utilities","NYQ"
"477","Vulcan Materials Company","VMC","Basic Materials","NYQ"
"478","W. R. Berkley Corporation","WRB","Financial Services","NYQ"
"479","W.W. Grainger, Inc.","GWW","Industrials","NYQ"
"480","Westinghouse Air Brake Technologies Corporation","WAB","Industrials","NYQ"
"481","Walgreens Boots Alliance, Inc.","WBA","Healthcare","NMS"
"482","Walmart Inc.","WMT","Consumer Defensive","NYQ"
"483","The Walt Disney Company","DIS","Communication Services","NYQ"
"484","Warner Bros. Discovery, Inc.","WBD","Communication Services","NMS"
"485","Waste Management, Inc.","WM","Industrials","NYQ"
"486","Waters Corporation","WAT","Healthcare","NYQ"
"487","WEC Energy Group, Inc.","WEC","Utilities","NYQ"
"488","Wells Fargo & Company","WFC","Financial Services","NYQ"
"489","Welltower Inc.","WELL","Real Estate","NYQ"
"490","West Pharmaceutical Services, Inc.","WST","Healthcare","NYQ"
"491","Western Digital Corporation","WDC","Technology","NMS"
"492","Weyerhaeuser Company","WY","Real Estate","NYQ"
"493","Williams-Sonoma, Inc.","WSM","Consumer Cyclical","NYQ"
"494","The Williams Companies, Inc.","WMB","Energy","NYQ"
"495","Willis Towers Watson Public Limited Company","WTW","Financial Services","NMS"
"496","Workday, Inc.","WDAY","Technology","NMS"
"497","Wynn Resorts, Limited","WYNN","Consumer Cyclical","NMS"
"498","Xcel Energy Inc.","XEL","Utilities","NMS"
"499","Xylem Inc.","XYL","Industrials","NYQ"
"500","Yum! Brands, Inc.","YUM","Consumer Cyclical","NYQ"
"501","Zebra Technologies Corporation","ZBRA","Technology","NMS"
"502","Zimmer Biomet Holdings, Inc.","ZBH","Healthcare","NYQ"
"503","Zoetis Inc.","ZTS","Healthcare","NYQ"
